draw_no,first_prize,second_prize_1,second_prize_2,second_prize_3,city,draw_date
1,367030,211403,527674,676693,Islamabad,2000-01-15
2,752300,38121,338558,367788,Peshawar,2000-04-17
3,941694,248225,267064,609209,Hyderabad,2000-07-15
4,548378,301073,472750,578505,Lahore,2000-10-16
5,677216,195498,404323,677256,Muzaffarabad,2001-01-15
6,786880,208018,332281,429055,Quetta,2001-04-16
7,410853,281299,281925,668153,Sukkur,2001-07-16
8,740883,32401,117883,421075,Gujranwala,2001-10-15
9,594970,172647,178159,178931,Hyderabad,2002-01-15
10,256287,290566,443286,533336,Bahawalpur,2002-04-15
11,227713,717713,720841,757843,Multan,2002-07-15
12,195989,618612,753979,826024,Lahore,2002-10-15
13,406685,172128,176588,343231,Peshawar,2003-01-15
14,849918,7621,211036,251036,Islamabad,2003-04-15
15,70763,76767,124174,141175,Karachi,2003-07-15
16,867220,577084,673464,870074,Quetta,2003-10-15
17,647006,467876,571871,700230,Hyderabad,2004-01-15
18,437687,265659,543274,758006,Multan,2004-04-15
19,849614,348514,611986,742214,Lahore,2004-07-15
20,278995,63572,279703,800636,Bahawalpur,2004-10-15
21,266315,147474,554020,579962,Islamabad,2005-01-15
22,199338,288233,543806,836940,Faisalabad,2005-04-15
23,966519,168700,185006,756162,Bahawalpur,2005-07-15
24,655937,254038,255838,778454,Quetta,2005-10-15
25,486101,202058,480801,939236,Quetta,2006-01-15
26,503970,158323,168721,823476,Muzaffarabad,2006-04-15
27,598906,62192,598996,599866,Hyderabad,2006-07-15
28,100754,64496,370711,555496,Multan,2006-10-16
29,829275,227759,447759,842059,Lahore,2007-01-15
30,278416,329447,549604,739416,Peshawar,2007-04-16
31,248453,89686,673738,910337,Karachi,2007-07-16
32,827184,184300,541249,991249,Islamabad,2007-10-17
33,4596,21100,752073,788284,Quetta,2008-01-15
34,526400,259084,458975,941542,Muzaffarabad,2008-04-15
35,890862,228284,747388,890826,Bahawalpur,2008-07-15
36,361846,107225,299109,461906,Hyderabad,2008-10-15
37,249717,221016,657531,899194,Gujranwala,2009-01-15
38,972785,172765,491417,806452,Faisalabad,2009-04-15
39,103583,355235,578460,878270,Peshawar,2009-07-15
40,414564,39355,247996,622700,Karachi,2009-10-15
41,733918,568369,676157,862789,Bahawalpur,2010-01-15
42,236824,170344,657678,895430,Multan,2010-04-15
43,453884,39619,537300,578549,Quetta,2010-07-15
44,63600,674133,728217,800841,Karachi,2010-10-15
45,814544,100930,106130,578023,Quetta,2011-01-15
46,359875,30207,154907,564781,Lahore,2011-04-15
47,631507,18906,118503,498478,Faisalabad,2011-07-15
48,91805,104437,222097,971078,Rawalpindi,2011-10-17
49,497831,132287,240705,727121,Hyderabad,2012-01-16
50,136114,564275,717074,955696,Karachi,2012-04-16
51,419572,187426,190480,728060,Rawalpindi,2012-07-16
52,917655,146328,147071,424796,Faisalabad,2012-10-15
53,714654,86708,586854,862565,Peshawar,2013-01-15
54,126541,187189,369088,528635,Multan,2013-04-15
55,157831,342353,712325,841308,Rawalpindi,2013-07-15
56,623756,216582,742338,797836,Karachi,2013-10-21
57,705840,439991,539415,759412,Rawalpindi,2014-01-15
58,852954,155479,424358,829364,Karachi,2014-04-15
59,795153,107586,227008,796010,Muzaffarabad,2014-07-15
60,409087,153627,695616,987816,Peshawar,2014-10-15
61,163360,547025,835893,948710,Rawalpindi,2015-01-15
62,911372,294285,417878,758637,Lahore,2015-04-15
63,760833,274397,754236,910787,Quetta,2015-07-15
64,982732,27902,550367,838001,Hyderabad,2015-10-15
65,805734,657119,796232,916826,Rawalpindi,2016-01-15
66,326499,140244,295557,945590,Karachi,2016-04-15
67,370297,32890,166996,757992,Muzaffarabad,2016-07-18
68,381865,588975,626365,643557,Quetta,2016-10-17
69,494769,117001,657258,902389,Faisalabad,2017-01-16
70,58047,130872,158358,623603,Peshawar,2017-04-17
71,624455,590977,630169,838033,Lahore,2017-07-17
72,960247,24343,323583,883704,Hyderabad,2017-10-16
73,156055,177661,786994,953433,Lahore,2018-01-15
74,82423,180469,384302,611891,Rawalpindi,2018-04-16
75,374125,6662,554796,958183,Faisalabad,2018-07-16
76,963916,96651,678838,835627,Lahore,2018-10-15
77,479780,121611,223172,553151,Peshawar,2019-01-15
78,682299,3875,663603,983623,Lahore,2019-04-15
79,161158,204877,262276,619632,Karachi,2019-07-15
80,378562,296432,512602,813469,Rawalpindi,2019-10-15
81,958892,515888,558129,943879,Karachi,2020-01-15
82,253534,48813,266370,662748,Hyderabad,2020-04-15
83,308857,394067,603610,930253,Muzaffarabad,2020-07-15
84,854741,44848,168263,728072,Lahore,2020-10-15
85,217739,194668,871860,953604,Hyderabad,2021-01-15
86,38012,831,314705,417508,Quetta,2021-04-15
87,331809,232705,842723,908062,Lahore,2021-07-15
88,69845,172166,321134,828622,Rawalpindi,2021-10-15
89,4208,511294,549996,983274,Peshawar,2022-01-17
90,394635,207865,529894,829039,Karachi,2022-04-15
91,722561,321896,828159,873486,Lahore,2022-07-15
92,141795,203689,317910,598900,Quetta,2022-10-17
93,24128,546784,580518,765113,Karachi,2023-01-16
94,544692,79943,428117,608818,Peshawar,2023-04-17
95,355591,81180,232448,747494,Rawalpindi,2023-07-17
96,593831,513366,827500,894418,Muzaffarabad,2023-10-16
97,59936,87220,826748,892829,Sialkot,2024-01-15
98,900286,134617,197462,314256,Hyderabad,2024-04-15
99,827399,462355,565416,900097,Quetta,2024-07-15
100,871778,249962,448780,499322,Faisalabad,2024-10-15
