Draw No.,1st,2nd,2nd,2nd,City,Date
100,871778,249962,448780,499322,Faisalabad,15-10-2024
99,827399,462355,565416,900097,Quetta,15-07-2024
98,900286,134617,197462,314256,Hyderabad,15-04-2024
97,59936,87220,826748,892829,Sialkot,15-01-2024
96,593831,513366,827500,894418,Muzaffarabad,16-10-2023
95,355591,81180,232448,747494,Rawalpindi,17-07-2023
94,544692,79943,428117,608818,Peshawar,17-04-2023
93,24128,546784,580518,765113,Karachi,16-01-2023
92,141795,203689,317910,598900,Quetta,17-10-2022
91,722561,321896,828159,873486,Lahore,15-07-2022
90,394635,207865,529894,829039,Karachi,15-04-2022
89,4208,511294,549996,983274,Peshawar,17-01-2022
88,69845,172166,321134,828622,Rawalpindi,15-10-2021
87,331809,232705,842723,908062,Lahore,15-07-2021
86,38012,831,314705,417508,Quetta,15-04-2021
85,217739,194668,871860,953604,Hyderabad,15-01-2021
84,854741,44848,168263,728072,Lahore,15-10-2020
83,308857,394067,603610,930253,Muzaffarabad,15-07-2020
82,253534,48813,266370,662748,Hyderabad,15-04-2020
81,958892,515888,558129,943879,Karachi,15-01-2020
80,378562,296432,512602,813469,Rawalpindi,15-10-2019
79,161158,204877,262276,619632,Karachi,15-07-2019
78,682299,3875,663603,983623,Lahore,15-04-2019
77,479780,121611,223172,553151,Peshawar,15-01-2019
76,963916,96651,678838,835627,Lahore,15-10-2018
75,374125,6662,554796,958183,Faisalabad,16-07-2018
74,82423,180469,384302,611891,Rawalpindi,16-04-2018
73,156055,177661,786994,953433,Lahore,15-01-2018
72,960247,24343,323583,883704,Hyderabad,16-10-2017
71,624455,590977,630169,838033,Lahore,17-07-2017
70,58047,130872,158358,623603,Peshawar,17-04-2017
69,494769,117001,657258,902389,Faisalabad,16-01-2017
68,381865,588975,626365,643557,Quetta,17-10-2016
67,370297,32890,166996,757992,Muzaffarabad,18-07-2016
66,326499,140244,295557,945590,Karachi,15-04-2016
65,805734,657119,796232,916826,Rawalpindi,15-01-2016
64,982732,27902,550367,838001,Hyderabad,15-10-2015
63,760833,274397,754236,910787,Quetta,15-07-2015
62,911372,294285,417878,758637,Lahore,15-04-2015
61,163360,547025,835893,948710,Rawalpindi,15-01-2015
60,409087,153627,695616,987816,Peshawar,15-10-2014
59,795153,107586,227008,796010,Muzaffarabad,15-07-2014
58,852954,155479,424358,829364,Karachi,15-04-2014
57,705840,439991,539415,759412,Rawalpindi,15-01-2014
56,623756,216582,742338,797836,Karachi,21-10-2013
55,157831,342353,712325,841308,Rawalpindi,15-07-2013
54,126541,187189,369088,528635,Multan,15-04-2013
53,714654,86708,586854,862565,Peshawar,15-01-2013
52,917655,146328,147071,424796,Faisalabad,15-10-2012
51,419572,187426,190480,728060,Rawalpindi,16-07-2012
50,136114,564275,717074,955696,Karachi,16-04-2012
49,497831,132287,240705,727121,Hyderabad,16-01-2012
48,91805,104437,222097,971078,Rawalpindi,17-10-2011
47,631507,18906,118503,498478,Faisalabad,15-07-2011
46,359875,30207,154907,564781,Lahore,15-04-2011
45,814544,100930,106130,578023,Quetta,15-01-2011
44,63600,674133,728217,800841,Karachi,15-10-2010
43,453884,39619,537300,578549,Quetta,15-07-2010
42,236824,170344,657678,895430,Multan,15-04-2010
41,733918,568369,676157,862789,Bahawalpur,15-01-2010
40,414564,39355,247996,622700,Karachi,15-10-2009
39,103583,355235,578460,878270,Peshawar,15-07-2009
38,972785,172765,491417,806452,Faisalabad,15-04-2009
37,249717,221016,657531,899194,Gujranwala,15-01-2009
36,361846,107225,299109,461906,Hyderabad,15-10-2008
35,890862,228284,747388,890826,Bahawalpur,15-07-2008
34,526400,259084,458975,941542,Muzaffarabad,15-04-2008
33,4596,21100,752073,788284,Quetta,15-01-2008
32,827184,184300,541249,991249,Islamabad,17-10-2007
31,248453,89686,673738,910337,Karachi,16-07-2007
30,278416,329447,549604,739416,Peshawar,16-04-2007
29,829275,227759,447759,842059,Lahore,15-01-2007
28,100754,64496,370711,555496,Multan,16-10-2006
27,598906,62192,598996,599866,Hyderabad,15-07-2006
26,503970,158323,168721,823476,Muzaffarabad,15-04-2006
25,486101,202058,480801,939236,Quetta,15-01-2006
24,655937,254038,255838,778454,Quetta,15-10-2005
23,966519,168700,185006,756162,Bahawalpur,15-07-2005
22,199338,288233,543806,836940,Faisalabad,15-04-2005
21,266315,147474,554020,579962,Islamabad,15-01-2005
20,278995,63572,279703,800636,Bahawalpur,15-10-2004
19,849614,348514,611986,742214,Lahore,15-07-2004
18,437687,265659,543274,758006,Multan,15-04-2004
17,647006,467876,571871,700230,Hyderabad,15-01-2004
16,867220,577084,673464,870074,Quetta,15-10-2003
15,70763,76767,124174,141175,Karachi,15-07-2003
14,849918,7621,211036,251036,Islamabad,15-04-2003
13,406685,172128,176588,343231,Peshawar,15-01-2003
12,195989,618612,753979,826024,Lahore,15-10-2002
11,227713,717713,720841,757843,Multan,15-07-2002
10,256287,290566,443286,533336,Bahawalpur,15-04-2002
9,594970,172647,178159,178931,Hyderabad,15-01-2002
8,740883,32401,117883,421075,Gujranwala,15-10-2001
7,410853,281299,281925,668153,Sukkur,16-07-2001
6,786880,208018,332281,429055,Quetta,16-04-2001
5,677216,195498,404323,677256,Muzaffarabad,15-01-2001
4,548378,301073,472750,578505,Lahore,16-10-2000
3,941694,248225,267064,609209,Hyderabad,15-07-2000
2,752300,38121,338558,367788,Peshawar,17-04-2000
1,367030,211403,527674,676693,Islamabad,15-01-2000
